id|display_name|description
d3718522-ca25-4691-bbde-89f3ece65386|Mentor|
6138b2bb-8841-4d4d-ace7-bf552116c517|Software Engineer (Front-End)|
c6b61778-5f16-43fe-b2af-f7fb6b6c3b34|Software Engineer (Back-End)|
ce79136c-887a-45f3-a75b-24471aeea76a|Product Manager|
b734f71c-018b-4a04-9a50-9e223921d5ad|Tech Lead|
073fcaae-041b-4157-ba65-715527209299|Software Engineer (Full-Stack)|
28041724-cfe6-4ba9-964f-41bb48703c50|Project Manager|
f17af9e7-4131-48cc-8d8a-2a7375f09fae|Marketing Associate|
779680ca-6ccd-446b-bc2e-819f78945314|Marketing Manager|
84a73014-f668-455e-b438-57e40c89793d|UX Creator|
cc8e5122-6ed8-4741-a5cd-657d86bdf714|Writer|
eb8309cd-223f-43eb-b7e8-43d6b6b5aa61|Business Analyst|
5c696557-b889-4002-b42e-9831e342ce07|Business Operations|
0f863ae8-a394-49a7-9a19-b10e40dce0e6|Legal Analyst|
d79e537d-4da9-4010-8ec8-a66658b53414|Lawer|
112723d8-5a1d-49f5-a5a1-ae4fce62715a|System Architect|
30dbfc49-d59f-44e1-9ac2-28f615f05f2b|Software Architect|
c581ec6f-2af7-47f7-a16a-2e85c06f790b|Associate Product Manager|
c3bcb0e9-78d6-4480-a77e-caee270721b8|Finance Lead|
4a3bf2f2-d725-446f-8562-7a86bf16f5f3|Finance Analyst|
3d40e855-b05f-4bad-9185-b01c83130d44|Accounting Lead|
8d9f935b-871e-41fe-ab28-5c27b9c87bd4|Accounting Assistant|
cdc75727-71d1-4d74-b645-7f32d6177eb6|Data Scientist|
9db38035-0fec-436d-88e7-0e5b055a104c|Research Lead|
b424f7e3-0087-4115-bff1-a9d3a05556ad|Research Assistant|
8059c416-c808-4bbd-9953-30250846e972|Business Development|
e2271a83-821f-43e3-88dd-c808af59336f|Producer|
4f5d830c-0ef8-4a02-8c13-4236d35c6dd7|Artist|
